sentence,label
I very like it,0
I like it very much,1
How to say?,0
How do you say this in English?,1
I think I can't,0
I don't think I can,1
I have something to do tomorrow,0
I am tied up all day tomorrow,1
My English is poor,0
"I am not 100% fluent, but at least I am improving",1
What time is it now?,0
"What time is it, please?",1
I don't dance well too,0
I am not a very good dancer either,1
Would you like to join our party?,0
Would you like to come to our party?,1
I have no experience,0
I don't know much about that,1
The price is very suitable for me,0
The price is right,1
What's your job?,0
Are you working at the moment?,1
I haven't English name,0
I don't have an English name,1
Of course!,0
Sure.,1
Welcome you to China,0
Welcome to China,1
Remember you forever,0
Always remember you,1
Wish you have a good day,0
I wish you a good day,1
Yellow hair,0
Blond,1
WC,0
Restroom,1
Way in,0
Entrance,1
Way out,0
Exit,1
So-so,0
Average,1
Delicious,0
Tasty,1
Try my best,0
Try,1
Famous,0
Well-known,1
How to spell?,0
How do you spell that?,1
Bye-bye,0
See you later,1
Noodles,0
Pasta,1
It is said,0
I heard,1
Till now,0
Recently,1
Peasant,0
Farmer,1
Give me a Marlboro,0
"May I have a Marlboro, please?",1
"Good good study, day day up",0
Study hard and make progress every day,1
People mountain people sea,0
It's extremely crowded,1
Long time no see,0
I haven't seen you for a long time,1
"You ask me, me ask who",0
I have no idea either,1
Heart flower angrily open,0
Bursting with joy,1
I tomorrow go to Shanghai,0
I am going to Shanghai tomorrow,1
He has always got a hard mouth,0
He never says uncle,1
The professor teaches badly,0
The professor is so terrible,1
He has affairs outside his own marriage,0
He is leading a double life,1
She is the pearl on her father's hand,0
She is the apple of her father's eye,1
I hope you won't pull my leg,0
I hope you won't hold me back,1
Don't lose your heart,0
Don't lose heart,1
So it is. I understand soon after your explanation,0
So that's how it is. I understand now,1
Bottom up,0
Bottoms up,1
Some prefer radish but others prefer cabbage,0
Tastes differ,1
He always comes here to have meals for free,0
He always comes here to bum meals off me,1
I am in the chicken,0
I am in the kitchen,1
I eat lamp yesterday,0
I ate lamb yesterday,1
I very like it.,0
I like it very much.,1
Welcome you to visit our school.,0
Welcome to our school.,1
My English is very poor.,0
My English isn°Øt very good.,1
He is very difficult.,0
He is a difficult person.,1
The price is very expensive.,0
The price is very high. / The item is very expensive.,1
I want to improve my English level.,0
I want to improve my English.,1
Open the light.,0
Turn on the light.,1
Close the light.,0
Turn off the light.,1
My stomach is very hungry.,0
I°Øm very hungry.,1
I very miss you.,0
I miss you very much.,1
We should learn more knowledge.,0
We should gain more knowledge.,1
Thank you for your help me.,0
Thank you for helping me.,1
He is my friend of childhood.,0
He is my childhood friend.,1
The traffic is very crowded.,0
The traffic is heavy.,1
I will go to sleep.,0
I°Øm going to bed.,1
I very agree with you.,0
I quite agree with you.,1
My computer has problem.,0
There°Øs something wrong with my computer.,1
I feel very painful.,0
I°Øm in a lot of pain.,1
I want to make friend with you.,0
I°Ød like to make friends with you.,1
This movie is very worth watching.,0
This movie is well worth watching.,1
Yesterday I very busy.,0
I was very busy yesterday.,1
I very tired.,0
I°Øm very tired.,1
He has many money.,0
He has a lot of money.,1
I have a dream that I can go abroad.,0
I dream of going abroad.,1
I will give you a surprise.,0
I°Øve got a surprise for you.,1
My mother is very love me.,0
