text,label
I very like it,1
I like it very much,0
How to say?,1
How do you say this in English?,0
I think I can't,1
I don't think I can,0
I have something to do tomorrow,1
I am tied up all day tomorrow,0
My English is poor,1
"I am not 100% fluent, but at least I am improving",0
What time is it now?,1
"What time is it, please?",0
I don't dance well too,1
I am not a very good dancer either,0
Would you like to join our party?,1
Would you like to come to our party?,0
I have no experience,1
I don't know much about that,0
The price is very suitable for me,1
The price is right,0
What's your job?,1
Are you working at the moment?,0
I haven't English name,1
I don't have an English name,0
Of course!,1
Sure.,0
Welcome you to China,1
Welcome to China,0
Remember you forever,1
Always remember you,0
Wish you have a good day,1
I wish you a good day,0
Yellow hair,1
Blond,0
WC,1
Restroom,0
Way in,1
Entrance,0
Way out,1
Exit,0
So-so,1
Average,0
Delicious,1
Tasty,0
Try my best,1
Try,0
Famous,1
Well-known,0
How to spell?,1
How do you spell that?,0
Bye-bye,1
See you later,0
Noodles,1
Pasta,0
It is said,1
I heard,0
Till now,1
Recently,0
Peasant,1
Farmer,0
Give me a Marlboro,1
"May I have a Marlboro, please?",0
"Good good study, day day up",1
Study hard and make progress every day,0
People mountain people sea,1
It's extremely crowded,0
Long time no see,1
I haven't seen you for a long time,0
"You ask me, me ask who",1
I have no idea either,0
Heart flower angrily open,1
Bursting with joy,0
I tomorrow go to Shanghai,1
I am going to Shanghai tomorrow,0
He has always got a hard mouth,1
He never says uncle,0
The professor teaches badly,1
The professor is so terrible,0
He has affairs outside his own marriage,1
He is leading a double life,0
She is the pearl on her father's hand,1
She is the apple of her father's eye,0
I hope you won't pull my leg,1
I hope you won't hold me back,0
Don't lose your heart,1
Don't lose heart,0
So it is. I understand soon after your explanation,1
So that's how it is. I understand now,0
Bottom up,1
Bottoms up,0
Some prefer radish but others prefer cabbage,1
Tastes differ,0
He always comes here to have meals for free,1
He always comes here to bum meals off me,0
I am in the chicken,1
I am in the kitchen,0
I eat lamp yesterday,1
I ate lamb yesterday,0
I very like it.,1
I like it very much.,0
Welcome you to visit our school.,1
Welcome to our school.,0
My English is very poor.,1
My English isn°Øt very good.,0
He is very difficult.,1
He is a difficult person.,0
The price is very expensive.,1
The price is very high. / The item is very expensive.,0
I want to improve my English level.,1
I want to improve my English.,0
Open the light.,1
Turn on the light.,0
Close the light.,1
Turn off the light.,0
My stomach is very hungry.,1
I°Øm very hungry.,0
I very miss you.,1
I miss you very much.,0
We should learn more knowledge.,1
We should gain more knowledge.,0
Thank you for your help me.,1
Thank you for helping me.,0
He is my friend of childhood.,1
He is my childhood friend.,0
The traffic is very crowded.,1
The traffic is heavy.,0
I will go to sleep.,1
I°Øm going to bed.,0
I very agree with you.,1
I quite agree with you.,0
My computer has problem.,1
There°Øs something wrong with my computer.,0
I feel very painful.,1
I°Øm in a lot of pain.,0
I want to make friend with you.,1
I°Ød like to make friends with you.,0
This movie is very worth watching.,1
This movie is well worth watching.,0
Yesterday I very busy.,1
I was very busy yesterday.,0
I very tired.,1
I°Øm very tired.,0
He has many money.,1
He has a lot of money.,0
I have a dream that I can go abroad.,1
I dream of going abroad.,0
I will give you a surprise.,1
I°Øve got a surprise for you.,0
My mother is very love me.,1
My mother loves me very much.,0
I very afraid of dogs.,1
I°Øm very afraid of dogs.,0
"This book is very interesting, I like read it.",1
This book is really interesting. I like reading it.,0
"I will study hard, get good grades.",1
I will study hard to get good grades.,0
He is very good at play basketball.,1
He is very good at playing basketball.,0
I very enjoy the party.,1
I really enjoyed the party.,0
The bus is very crowded.,1
