中式英语词汇,地道英语词汇
good good study,diligent
people mountain people sea,crowded
give you some color see see,teach you a lesson
no zuo no die,don't ask for trouble
you can you up,prove it if you can
long time no see,haven't seen you in a while
add oil,keep going
open water,boil water
horse horse tiger tiger,so-so
seven up eight down,anxious
open the light,turn on the light
close the light,turn off the light
very like,enjoy
how to say,how do you say
play phone,use the phone
body health,physical health
learn knowledge,gain knowledge
open a meeting,hold a meeting
become better and better,improve steadily
make a photo,take a photo
I very like it.,I like it very much.
Welcome you to visit our school.,Welcome to our school.
My English is very poor.,My English isn’t very good.
He is very difficult.,He is a difficult person.
The price is very expensive.,The price is very high.
I want to improve my English level.,I want to improve my English.
Open the light.,Turn on the light.
Close the light.,Turn off the light.
My stomach is very hungry.,I’m very hungry.
I very miss you.,I miss you very much.
We should learn more knowledge.,We should gain more knowledge.
Thank you for your help me.,Thank you for helping me.
He is my friend of childhood.,He is my childhood friend.
The traffic is very crowded.,The traffic is heavy.
I will go to sleep.,I’m going to bed.
I very agree with you.,I quite agree with you.
My computer has problem.,There’s something wrong with my computer.
I feel very painful.,I’m in a lot of pain.
I want to make friend with you.,I’d like to make friends with you.
This movie is very worth watching.,This movie is well worth watching.
Yesterday I very busy.,I was very busy yesterday.
I very tired.,I’m very tired.
He has many money.,He has a lot of money.
I have a dream that I can go abroad.,I dream of going abroad.
I will give you a surprise.,I’ve got a surprise for you.
My mother is very love me.,My mother loves me very much.
I very afraid of dogs.,I’m very afraid of dogs.
"This book is very interesting, I like read it.",This book is really interesting. I like reading it.
"I will study hard, get good grades.",I will study hard to get good grades.
He is very good at play basketball.,He is very good at playing basketball.
I very enjoy the party.,I really enjoyed the party.
The bus is very crowded.,The bus is packed.
I want to know your opinion.,I’d like to hear your opinion.
"I have a fever, my body is very hot.",I’ve got a fever.
It is very difficult to learn English.,Learning English can be quite challenging.
I hope you can happy every day.,I hope you’re happy every day.
I have a lot of pressure.,I’m under a lot of pressure.
We should take exercise every day.,We should work out every day.
I will wait you.,I’ll wait for you.
My heart is very happy.,I’m really happy.
I very regret it.,I really regret it.
The food is very full.,I’m full.
I have no idea about it.,I have no clue about it.
I very like to travel.,I love travelling.
It makes me very excited.,It gets me really excited.
I want to learn more skills.,I’d like to pick up more skills.
"The exam is very difficult, I very nervous.","The exam is really tough, and I’m really nervous."
I very appreciate your help.,I really appreciate your help.
I will go to home.,I will go home.
I very respect him.,I have great respect for him.
